"Date","Pays","Infections","Deces","Guerisons","TauxDeces","TauxGuerison","TauxInfection","long","lat"
"7/13/2020","Rwanda","1378","4","710","0.29","51.52","48.19","29.9198911","-1.990332"
"7/13/2020","Russia","732547","11422","503168","1.56","68.69","29.75","96.6865735","61.9805217"
"7/13/2020","Republic of Serbia","18639","405","13940","2.17","74.79","23.04","20.7895812","44.2215031"
"7/13/2020","Romania","32948","1901","21692","5.77","65.84","28.39","24.9729329","45.8524294"
"7/13/2020","Qatar","104016","149","100627","0.14","96.74","3.11","51.1847851","25.3060094"
"7/13/2020","R̩union","596","3","472","0.5","79.19","20.3","#N/A","#N/A"
"7/13/2020","Paraguay","2980","25","1293","0.84","43.39","55.77","-58.4001408","-23.228239"
"7/13/2020","Portugal","46818","1662","31065","3.55","66.35","30.1","-8.5010551","39.5955025"
"7/13/2020","Palestine","6566","39","1084","0.59","16.51","82.9","#N/A","#N/A"
"7/13/2020","Poland","38190","1576","27515","4.13","72.05","23.83","19.3901184","52.1275954"
"7/13/2020","Pakistan","253604","5320","170656","2.1","67.29","30.61","69.3395803","29.9497522"
"7/13/2020","Philippines","57006","1599","20371","2.8","35.73","61.46","122.8839215","11.7753974"
"7/13/2020","Papouasie-Nouvelle-Guinea","11","0","8","0","72.73","27.27","#N/A","#N/A"
"7/13/2020","Peru","330123","12054","221008","3.65","66.95","29.4","-74.3824289","-9.1528028"
"7/13/2020","Panama","47173","932","23919","1.98","50.7","47.32","-80.1191515","8.5175119"
"7/13/2020","Oman","58179","259","37257","0.45","64.04","35.52","56.0916597","20.6051541"
"7/13/2020","New Zealand","1545","22","1498","1.42","96.96","1.62","171.4849539","-41.8111283"
"7/13/2020","Nepal","16945","38","10294","0.22","60.75","39.03","83.9158367","28.2489136"
"7/13/2020","Norway","8984","253","8138","2.82","90.58","6.6","15.3483297","68.7501441"
"7/13/2020","Netherlands","51308","6156","193","12","0.38","87.63","5.2814735","52.100808"
"7/13/2020","Nicaragua","2846","91","1993","3.2","70.03","26.77","-85.0305289","12.8470963"
"7/13/2020","Nigeria","33153","744","13671","2.24","41.24","56.52","8.0894424","9.5941181"
"7/13/2020","Niger","1099","68","992","6.19","90.26","3.55","9.3854645","17.419126"
"7/13/2020","Namibia","861","1","28","0.12","3.25","96.63","17.2096277","-22.1303079"
"7/13/2020","Mozambique","1219","9","369","0.74","30.27","68.99","35.5336735","-17.273819"
"7/13/2020","Malaysia","8725","122","8520","1.4","97.65","0.95","109.6976155","3.7898726"
"7/13/2020","Mexico","304435","35491","240101","11.66","78.87","9.47","-102.5234504","23.9475393"
"7/13/2020","Malawi","2430","39","747","1.6","30.74","67.65","34.2893585","-13.2180697"
"7/13/2020","Maldives","2762","13","2290","0.47","82.91","16.62","73.4571108","3.7285473"
"7/13/2020","Mauritius","342","10","330","2.92","96.49","0.58","57.5712076","-20.2777156"
"7/13/2020","Malta","674","9","660","1.34","97.92","0.74","14.4052204","35.9215132"
"7/13/2020","Mauritania","5446","147","2501","2.7","45.92","51.38","-10.3477974","20.2573693"
"7/13/2020","Martinique","255","15","98","5.88","38.43","55.69","#N/A","#N/A"
"7/13/2020","Mongolia","243","0","204","0","83.95","16.05","103.0529965","46.8268143"
"7/13/2020","Macao","46","0","45","0","97.83","2.17","#N/A","#N/A"
"7/13/2020","Birmanie","336","6","261","1.79","77.68","20.54","#N/A","#N/A"
"7/13/2020","Mali","2412","121","1730","5.02","71.72","23.26","-3.5426879","17.3458146"
"7/13/2020","Macedonia","8197","385","4326","4.7","52.78","42.53","21.6821134","41.5953106"
